ID,keywords,acountType,joinedDate,following,zFollowing,followers,zFollowers,location,tweet,translatedTweet,tweetType,datePosted,contentType,likes,zLikes,replies,zReplies,retweets,zRetweets,quotes,zQuotes,quotedTweet,tokens,stemTokens,lemmaTokens
1,"peso, weak, dollar, strong",Identified,2010-04-30T16:00:00.000Z,360,-0.35,558,-0.16,Philippines,"600 per kilo? Edi wag bumili ng 1 kilo.
Solution para wag matraffic? Wag pumunta.
Peso is not weak, dollar is just strong.
No transportation issues, kulang lang diskarte.
History is like chismis

PH wins the gold medal sa mental gymnastics by a huge margin 🤭","600 per kilo? Then don't buy 1 kilo.
Solution to avoid traffic? Don't go.
Peso is not weak, dollar is just strong.
No transportation issues, just a lack of strategy.
History is like gossip

PH wins the gold medal sa mental gymnastics by a huge margin 🤭",Text,2022-12-29T09:46:00.000Z,"Rational, Emotional",10,-0.08,0,-0.13,5,0.11,0,-0.11,None,"['600', 'per', 'kilo', 'dont', 'buy', '1', 'kilo', 'solution', 'avoid', 'traffic', 'dont', 'go', 'peso', 'weak', 'dollar', 'strong', 'transportation', 'issues', 'lack', 'strategy', 'history', 'like', 'gossip', 'ph', 'wins', 'gold', 'medal', 'sa', 'mental', 'gymnastics', 'huge', 'margin', ':face_with_hand_over_mouth:']","['600', 'per', 'kilo', 'dont', 'buy', '1', 'kilo', 'solut', 'avoid', 'traffic', 'dont', 'go', 'peso', 'weak', 'dollar', 'strong', 'transport', 'issu', 'lack', 'strategi', 'histori', 'like', 'gossip', 'ph', 'win', 'gold', 'medal', 'sa', 'mental', 'gymnast', 'huge', 'margin', ':face_with_hand_over_mouth:']","['600', 'per', 'kilo', 'dont', 'buy', '1', 'kilo', 'solution', 'avoid', 'traffic', 'dont', 'go', 'peso', 'weak', 'dollar', 'strong', 'transportation', 'issue', 'lack', 'strategy', 'history', 'like', 'gossip', 'ph', 'win', 'gold', 'medal', 'sa', 'mental', 'gymnastics', 'huge', 'margin', ':face_with_hand_over_mouth:']"
2,"peso, weak, dollar, strong",Anonymous,2010-06-30T16:00:00.000Z,573,-0.03,1170,-0.16,Unidentified,"Ang tawag sa uri ng statement na ito ay ""Sandrocism.""

The peso is weak not because the peso is weak. The peso is weak because the dollar is strong. https://t.co/CWYqnGJSqY","""This type of statement is called """"Sandrocism.""""

The peso is weak not because the peso is weak. The peso is weak because the dollar is strong. https://t.co/CWYqnGJSqY""","Text,Image",2022-12-24T13:57:00.000Z,Rational,14,-0.06,1,-0.11,0,-0.18,0,-0.11,None,"['type', 'statement', 'called', 'sandrocism', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['type', 'statement', 'call', 'sandroc', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['type', 'statement', 'call', 'sandrocism', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
3,"peso, weak, dollar, strong",Anonymous,2020-05-31T16:00:00.000Z,628,0.05,535,-0.16,Unidentified,"The Peso is not weak, but the dollar  is really strong uh. 😥 https://t.co/42hhU0fW3H","The Peso is not weak, but the dollar  is really strong uh. 😥 https://t.co/42hhU0fW3H","Text,Image",2022-12-12T05:03:00.000Z,Emotional,1,-0.14,1,-0.11,0,-0.18,0,-0.11,None,"['peso', 'weak', 'dollar', 'really', 'strong', 'uh', ':sad_but_relieved_face:']","['peso', 'weak', 'dollar', 'realli', 'strong', 'uh', ':sad_but_relieved_face:']","['peso', 'weak', 'dollar', 'really', 'strong', 'uh', ':sad_but_relieved_face:']"
4,"peso, weak, dollar, strong",Anonymous,2022-09-30T16:00:00.000Z,78,-0.77,0,-0.16,Philippines,Is the peso strong because the dollar is weak na ba?????,Is the peso strong because the dollar is weak?????,"Text,Quote",2022-12-07T14:34:00.000Z,Emotional,1,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/PhilstarNews/status/1600415913941307392,"['peso', 'strong', 'dollar', 'weak']","['peso', 'strong', 'dollar', 'weak']","['peso', 'strong', 'dollar', 'weak']"
5,"peso, dollar, sandro",Identified,2010-04-30T16:00:00.000Z,157,-0.65,84,-0.16,Philippines,“the peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” - SANDRO,“the peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” - SANDRO,"Text,Quote",2022-12-06T13:09:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/cnnphilippines/status/1599933393495416832,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'sandro']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'sandro']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'sandro']"
6,"peso, weak, dollar, strong",Anonymous,2013-05-31T16:00:00.000Z,198,-0.59,27503,-0.11,Unidentified,"the philippines: economic crisis
the concerts: the peso isn't weak because the peso is weak. the peso is weak because the dollar is strong","the philippines: economic crisis
the concerts: the peso isn't weak because the peso is weak. the peso is weak because the dollar is strong",Text,2022-12-03T11:08:00.000Z,Rational,143,0.73,5,-0.02,43,2.32,9,-0.01,None,"['philippines', 'economic', 'crisis', 'concerts', 'peso', 'isnt', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['philippin', 'econom', 'crisi', 'concert', 'peso', 'isnt', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['philippines', 'economic', 'crisis', 'concert', 'peso', 'isnt', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
7,"peso, dollar, sandro",Identified,2020-04-30T16:00:00.000Z,107,-0.73,800,-0.16,Unidentified,"Peso rises vs Dollar. But why? Is it because PHP got stronger? No. USD falls due to dovish Fed outlook. So PHP can look strong when USD weakens. Consequently, PHP can look weak when USD strengthens: The Peso is weak not because it's weak, but because the Dollar is strong. Sandro was right. https://t.co/8JIjU6aYzB","Peso rises vs Dollar. But why? Is it because PHP got stronger? No. USD falls due to dovish Fed outlook. So PHP can look strong when USD weakens. Consequently, PHP can look weak when USD strengthens: The Peso is weak not because it's weak, but because the Dollar is strong. Sandro was right. https://t.co/8JIjU6aYzB","Text,Image",2022-12-02T09:58:00.000Z,Rational,91,0.41,5,-0.02,16,0.75,2,-0.09,None,"['peso', 'rises', 'vs', 'dollar', 'php', 'got', 'stronger', 'usd', 'falls', 'due', 'dovish', 'fed', 'outlook', 'php', 'look', 'strong', 'usd', 'weakens', 'consequently', 'php', 'look', 'weak', 'usd', 'strengthens', 'peso', 'weak', 'weak', 'dollar', 'strong', 'sandro', 'right']","['peso', 'rise', 'vs', 'dollar', 'php', 'got', 'stronger', 'usd', 'fall', 'due', 'dovish', 'fed', 'outlook', 'php', 'look', 'strong', 'usd', 'weaken', 'consequ', 'php', 'look', 'weak', 'usd', 'strengthen', 'peso', 'weak', 'weak', 'dollar', 'strong', 'sandro', 'right']","['peso', 'rise', 'vs', 'dollar', 'php', 'get', 'stronger', 'usd', 'fall', 'due', 'dovish', 'feed', 'outlook', 'php', 'look', 'strong', 'usd', 'weaken', 'consequently', 'php', 'look', 'weak', 'usd', 'strengthen', 'peso', 'weak', 'weak', 'dollar', 'strong', 'sandro', 'right']"
8,"peso, weak, dollar, strong",Anonymous,2022-09-30T16:00:00.000Z,42,-0.82,42,-0.16,Unidentified,the peso is weak because the dollar is strong,the peso is weak because the dollar is strong,Text,2022-11-28T15:55:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'dollar', 'strong']"
9,"peso, weak, dollar, strong",Anonymous,2021-09-30T16:00:00.000Z,268,-0.49,1288,-0.16,Unidentified,the peso is weak not because its weak but because the dollar is strong!!,the peso is weak not because its weak but because the dollar is strong!!,Text,2022-11-12T15:42:00.000Z,Rational,15,-0.05,2,-0.09,0,-0.18,0,-0.11,None,"['peso', 'weak', 'weak', 'dollar', 'strong']","['peso', 'weak', 'weak', 'dollar', 'strong']","['peso', 'weak', 'weak', 'dollar', 'strong']"
10,"peso, weak, dollar, strong",Anonymous,2019-09-30T16:00:00.000Z,432,-0.24,1035,-0.16,Unidentified,“the peso is weak because the dollar is strong” 🥲,“the peso is weak because the dollar is strong” 🥲,"Text,Quote",2022-11-09T05:26:00.000Z,Emotional,7,-0.1,1,-0.11,0,-0.18,0,-0.11,https://twitter.com/polalovesiu888/status/1590212349423943680,"['peso', 'weak', 'dollar', 'strong', ':smiling_face_with_tear:']","['peso', 'weak', 'dollar', 'strong', ':smiling_face_with_tear:']","['peso', 'weak', 'dollar', 'strong', ':smiling_face_with_tear:']"
