ID,keywords,acountType,joinedDate,following,followers,location,tweet,translatedTweet,tweetType,datePosted,contentType,likes,replies,retweets,quotes,zQuotes,quotedTweet
1,"peso, weak, dollar, strong",Identified,2010-04-30T16:00:00.000Z,360,558,Philippines,"600 per kilo? Edi wag bumili ng 1 kilo.
Solution para wag matraffic? Wag pumunta.
Peso is not weak, dollar is just strong.
No transportation issues, kulang lang diskarte.
History is like chismis

PH wins the gold medal sa mental gymnastics by a huge margin 🤭","600 per kilo? Then don't buy 1 kilo.
Solution to avoid traffic? Don't go.
Peso is not weak, dollar is just strong.
No transportation issues, just a lack of strategy.
History is like gossip

PH wins the gold medal sa mental gymnastics by a huge margin 🤭",Text,2022-12-29T09:46:00.000Z,"Rational, Emotional",10,0,5,0,-0.11,None
2,"peso, weak, dollar, strong",Anonymous,2010-06-30T16:00:00.000Z,573,1170,Unidentified,"Ang tawag sa uri ng statement na ito ay ""Sandrocism.""

The peso is weak not because the peso is weak. The peso is weak because the dollar is strong. https://t.co/CWYqnGJSqY","""This type of statement is called """"Sandrocism.""""

The peso is weak not because the peso is weak. The peso is weak because the dollar is strong. https://t.co/CWYqnGJSqY""","Text,Image",2022-12-24T13:57:00.000Z,Rational,14,1,0,0,-0.11,None
3,"peso, weak, dollar, strong",Anonymous,2020-05-31T16:00:00.000Z,628,535,Unidentified,"The Peso is not weak, but the dollar  is really strong uh. 😥 https://t.co/42hhU0fW3H","The Peso is not weak, but the dollar  is really strong uh. 😥 https://t.co/42hhU0fW3H","Text,Image",2022-12-12T05:03:00.000Z,Emotional,1,1,0,0,-0.11,None
4,"peso, weak, dollar, strong",Anonymous,2022-09-30T16:00:00.000Z,78,0,Philippines,Is the peso strong because the dollar is weak na ba?????,Is the peso strong because the dollar is weak?????,"Text,Quote",2022-12-07T14:34:00.000Z,Emotional,1,0,0,0,-0.11,https://twitter.com/PhilstarNews/status/1600415913941307392
5,"peso, dollar, sandro",Identified,2010-04-30T16:00:00.000Z,157,84,Philippines,“the peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” - SANDRO,“the peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” - SANDRO,"Text,Quote",2022-12-06T13:09:00.000Z,Rational,0,0,0,0,-0.11,https://twitter.com/cnnphilippines/status/1599933393495416832
6,"peso, weak, dollar, strong",Anonymous,2013-05-31T16:00:00.000Z,198,27503,Unidentified,"the philippines: economic crisis
the concerts: the peso isn't weak because the peso is weak. the peso is weak because the dollar is strong","the philippines: economic crisis
the concerts: the peso isn't weak because the peso is weak. the peso is weak because the dollar is strong",Text,2022-12-03T11:08:00.000Z,Rational,143,5,43,9,-0.01,None
7,"peso, dollar, sandro",Identified,2020-04-30T16:00:00.000Z,107,800,Unidentified,"Peso rises vs Dollar. But why? Is it because PHP got stronger? No. USD falls due to dovish Fed outlook. So PHP can look strong when USD weakens. Consequently, PHP can look weak when USD strengthens: The Peso is weak not because it's weak, but because the Dollar is strong. Sandro was right. https://t.co/8JIjU6aYzB","Peso rises vs Dollar. But why? Is it because PHP got stronger? No. USD falls due to dovish Fed outlook. So PHP can look strong when USD weakens. Consequently, PHP can look weak when USD strengthens: The Peso is weak not because it's weak, but because the Dollar is strong. Sandro was right. https://t.co/8JIjU6aYzB","Text,Image",2022-12-02T09:58:00.000Z,Rational,91,5,16,2,-0.09,None
8,"peso, weak, dollar, strong",Anonymous,2022-09-30T16:00:00.000Z,42,42,Unidentified,the peso is weak because the dollar is strong,the peso is weak because the dollar is strong,Text,2022-11-28T15:55:00.000Z,Rational,0,0,0,0,-0.11,None
9,"peso, weak, dollar, strong",Anonymous,2021-09-30T16:00:00.000Z,268,1288,Unidentified,the peso is weak not because its weak but because the dollar is strong!!,the peso is weak not because its weak but because the dollar is strong!!,Text,2022-11-12T15:42:00.000Z,Rational,15,2,0,0,-0.11,None
10,"peso, weak, dollar, strong",Anonymous,2019-09-30T16:00:00.000Z,432,1035,Unidentified,“the peso is weak because the dollar is strong” 🥲,“the peso is weak because the dollar is strong” 🥲,"Text,Quote",2022-11-09T05:26:00.000Z,Emotional,7,1,0,0,-0.11,https://twitter.com/polalovesiu888/status/1590212349423943680
